workload,function,num_ch,avg_ch_length,max_ch_length,ILP,MAX_ILP,max_level,max_mlp
164.gzip.dfg,dfg.__offload_func_17,29,1.2069,3,5.8,11,5,4
175.vpr.dfg,dfg.__offload_func_59,29,1.37931,3,4.83333,9,6,3
179.art.dfg,dfg.__offload_func_69,19,1.21053,2,3.16667,7,6,4
181.mcf.dfg,dfg.__offload_func_31,11,1.27273,2,2.2,5,5,2
183.equake.dfg,dfg.__offload_func_5,127,1.29921,3,11.5455,18,11,16
186.crafty.dfg,dfg.__offload_func_3781482737149899079,29,1.13793,2,4.14286,9,7,3
197.parser.dfg,dfg.__offload_func_12,48,1.22917,2,1.84615,10,26,4
401.bzip2.dfg,dfg.__offload_func_10746002067,26,1.23077,2,3.71429,7,7,2
403.gcc.dfg,dfg.__offload_func_2396,8,1.125,2,2.66667,4,3,1
429.mcf.dfg,dfg.__offload_func_31,11,1.36364,3,2.2,5,5,2
444.namd.dfg,dfg.__offload_func_414,32,1.40625,3,4.57143,13,7,3
450.soplex.dfg,dfg.__offload_func_4,23,1.26087,3,3.28571,7,7,4
453.povray.dfg,dfg.__offload_func_585,34,1.08824,2,3.77778,9,9,1
456.hmmer.dfg,dfg.__offload_func_12539,94,1.2234,2,15.6667,22,6,19
458.sjeng.dfg,dfg.__offload_func_18920763223,70,1.08571,2,5.83333,14,12,5
464.h264ref.dfg,dfg.__offload_func_5,34,1.32353,3,3.4,7,10,2
470.lbm.dfg,dfg.__offload_func_2,105,1.5619,3,21,42,5,20
482.sphinx3.dfg,dfg.__offload_func_5,29,1.51724,3,5.8,13,5,6
blackscholes.dfg,dfg.__offload_func_1966001,24,1.04167,2,3.42857,6,7,1
bodytrack.dfg,dfg.__offload_func_12,19,1.42105,2,9.5,12,2,5
dwt53.dfg,dfg.__offload_func_0,34,1.23529,2,3.77778,7,9,3
ferret.dfg,dfg.__offload_func_73356,26,1.23077,3,8.66667,14,3,5
fft-2d.dfg,dfg.__offload_func_313317,40,1.075,2,4,6,10,4
fluidanimate.dfg,dfg.__offload_func_1176,13,1.23077,3,3.25,6,4,2
freqmine.dfg,dfg.__offload_func_25,38,1.52632,3,6.33333,18,6,5
sar-backprojection.dfg,dfg.__offload_func_983946,7,1.14286,2,1.75,3,4,1
sar-pfa-interp1.dfg,dfg.__offload_func_661,17,1.11765,3,4.25,8,4,2
streamcluster.dfg,dfg.__offload_func_111,17,1.35294,3,4.25,7,4,2
